update_id,message_id,user_id,is_bot,first_name,username,language_code,chat_type,message_date,text
110743666,200,6204388159,False,Rohit,lemonverseio,en,private,1709629700,hi
110743666,200,6204388159,False,Rohit,lemonverseio,en,private,1709629700,hi
110743667,202,6204388159,False,Rohit,lemonverseio,en,private,1709629728,kya baat hai ?
110743668,203,6204388159,False,Rohit,lemonverseio,en,private,1709629744,wassup
110743669,205,6204388159,False,Rohit,lemonverseio,en,private,1709629818,koi kaam?
110743670,207,6204388159,False,Rohit,lemonverseio,en,private,1709629840,thik hai good night
110743670,207,6204388159,False,Rohit,lemonverseio,en,private,1709629840,thik hai good night
110743671,210,6204388159,False,Rohit,lemonverseio,en,private,1709651598,wasssup
110743672,212,6204388159,False,Rohit,lemonverseio,en,private,1709651761,NUHS Scholarships
110743673,214,6204388159,False,Rohit,lemonverseio,en,private,1709651789,can you tell me more about it?
110743673,214,6204388159,False,Rohit,lemonverseio,en,private,1709651789,can you tell me more about it?
110743674,215,6204388159,False,Rohit,lemonverseio,en,private,1709651911,NUHS Scholarships
110743675,217,6204388159,False,Rohit,lemonverseio,en,private,1709652048,Cool done done
110743676,219,6204388159,False,Rohit,lemonverseio,en,private,1709695066,Hi
110743676,219,6204388159,False,Rohit,lemonverseio,en,private,1709695066,Hi
110743677,220,6204388159,False,Rohit,lemonverseio,en,private,1709695155,Hey
110743678,222,6204388159,False,Rohit,lemonverseio,en,private,1709695288,anything about NUHS?
110743679,224,6204388159,False,Rohit,lemonverseio,en,private,1709695302,NUHS Singapore?
110743680,226,6204388159,False,Rohit,lemonverseio,en,private,1709695327,any scholarships they provide?
